RoadName,RouteType,RoadKey
ASPEN HILL RD,County,4115245564239867
EAST WEST HWY,Maryland (State),4570729910170239
GRACEFIELD RD,County,8149618571271010
STEEPLE RD,County,7254704165238416
FRAMINGHAM DR,County,3769715725999154
BROADBIRCH DR,County,6287500801377704
HENDERSON AVE,County,1429668532757306
ETHAN ALLEN AVE,Maryland (State),8581221189109699
NORWOOD RD,County,2732602760968682
LONGMEAD CROSSING DR,County,8903437844932022
NELSON ST,Municipality,8982226027080534
EAST AVE,Municipality,5022454213900949
WOODMONT AVE,County,4250512694628641
PARKLAND DR,County,4005500860300433
GERMANTOWN RD,County,9701359641238484
AIRCRAFT DR,County,3885447637282260
GOODHILL RD,County,2692036439823960
OLD COLUMBIA PIKE,County,2808299851855837
NORTHAMPTON DR,County,4460803811679484
LAYHILL RD,Maryland (State),1498137660831595
SCHAEFFER RD,County,9265916074570429
SNOUFFERS SCHOOL RD,County,6658835996254298
WASHINGTON GROVE LA,County,8657824055433617
FAIRLAND RD,County,1121551715469239
FALLSMEAD WAY,Municipality,7981982414652002
FALLBROOK CT,Municipality,1149313842585387
IVY LEAGUE LA,Other Public Roadway,4503227216928491
W JEFFERSON ST,Maryland (State),6084081610456241
BOWIE MILL RD,County,5160157020376117
GREAT FALLS RD,Municipality,6743601939742114
MIDDLEVALE LA,County,9680331896868974
GATEWAY CENTER DR,County,9295326919139872
W GUDE DR,Municipality,5498064292481371
PATTON DR,County,9811869648980484
ELNORA ST,County,9275248330877702
BRINK RD,County,3274019802749844
RAMP 6 FR MONTROSE RD TO MD 355 SB,Ramp,542655302172078
GLENALLAN AVE,County,670409629174736
MORNINGWOOD DR,County,5851501510942727
SEVEN LOCKS RD,Municipality,9966581220338296
SAM EIG HWY,County,729448775661521
NORBECK RD,County,5351901845213740
CEDAR LA,County,5777913950568264
CENTERWAY RD,County,7467019256973792
PARK RD,Municipality,5069054988909716
GIRARD ST,Municipality,3649052605457704
WISTERIA DR,County,756079554807696
BALTIMORE RD,Municipality,77986396610937
MATTHEWS DR,Municipality,8897523291255517
DARNESTOWN RD,Maryland (State),7885715244532191
FLOWER AVE,County,3492999203417397
GOOD HOPE RD,County,4463770154627932
SUNDOWN RD,County,7574922883164870
